id,batch_id,veli,asli,mihrimah,kasa,kargo,created_at,diger,aciklama
ce695cd9-3699-454d-bc91-d94a1c5e5460,a42e6690-95c9-440e-99ca-e029f4354c04,0,700,0,16650,700,2026-06-05 12:24:20.971925+00,2500,Mihri yakıt
3c6eef0c-03ce-444f-8916-5b330e642ce4,861e1b45-3f20-4db7-9646-b5facb5347c0,12500,1400,0,42920,1400,2026-06-05 12:24:34.748973+00,0,tester-2300
97aaeba0-1d9a-4168-808f-9900dc5a34f5,84b225f6-701b-41c2-a0b5-6624cee354be,0,0,0,28900,900,2026-06-13 19:45:03.659207+00,0,
afc56386-2884-4f9e-b3b0-1bebef13b7f1,2d4be436-f35d-462a-9b07-721a4ab86dbf,25000,960,0,15000,960,2026-06-05 12:13:28.786321+00,0,tester 1800
4bf7703a-52c1-4811-9f89-33907c828ef2,746d7546-ca40-4285-a74d-2ec0423070c1,0,0,0,14320,300,2026-06-18 10:15:32.102681+00,0,tester-1250
f8cf73c9-dbfd-4f53-b3c1-02735225626b,72cc2935-9601-41a1-b10f-a7a34d04c054,0,0,0,29323,400,2026-06-23 18:42:55.740453+00,0,
c09b3298-d5d1-4c51-905d-467ba53224a7,b01f5b49-0edb-433a-a4c4-04ee73f9dca0,16300,1696,0,0,616,2026-06-05 12:13:11.381631+00,0,Laleli
aad17c09-fb9c-4a58-aa07-0db97c159ee8,9710f3ca-854b-4d81-be3e-df7e16cfb22a,12000,0,0,13800,0,2026-06-05 12:13:12.914012+00,0,Laleli
6851e7e9-2256-4ea7-a0bf-e2cdeb6bc392,7ed89189-3997-4563-8403-4fd47c3f10a1,0,0,0,13548,0,2026-07-02 10:08:35.402207+00,0,Hasan
cb5bc9dd-7dab-40c9-87aa-8f171dd9c72c,b00b3a88-c254-4537-ad34-b9fa3b58c0b1,0,0,0,9900,600,2026-07-02 08:20:08.845578+00,0,Laleli-Yüksel
